StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex,AvgDistance,MinDistance
87126,0, ,,Gl 752 B,,,19.28334001,5.167277104,5.87337014,17.52,18.67556315, dM5 e ,2.2,1,0.01989
55881,77514, ,,NN 3920 ,,,15.82683879,51.04852013,17.30702665,12.05,10.85888769,M: ,2.2,0.464779,0.000001
54317,75193, ,, ,,,15.36577151,18.59809932,35.77817531,11.94,9.171909061, ,2.2,0.355899,0.000014
21125,29450,42543,2197,, 6 Gem,,6.20530526,22.90851943,1315.789474,6.51,-4.085932039,M1Ia-ab ,2.197,0.24186,0.000006
10405,14827,19557,, ,,,3.19036802,57.90312376,313.4796238,7.48,-0.001046585,R5 ,2.182,0.014347,0
87362,0, ,,NN 4281 ,,,22.48197498,-13.4079258,10.88139282,17.14,16.95657756, M6.5 ,2.16,0.880895,0.001897
86019,0, ,,NN 3208 ,,,3.236256325,28.69035354,14.92537313,16.77,15.90037401, m ,2.15,0.807741,0.001489
21096,29416,42475,2190,, ,,6.19761495,21.86824073,10000000,6.93,-8.07,M1:Iavar ,2.142,0.511302,0
86537,0, ,,NN 3622 ,,,10.80291454,-11.31553396,4.524886878,15.6,17.32196137, M6.5 ,2.1,0.906206,0.00632
54312,75187, ,,Wo 9520 ,,,15.36468928,20.97744191,11.390819,10.11,9.827225245,M9 ,2.1,0.397688,0.000059
68351,94590, ,,Gl 748.2A,,,19.2496543,2.164233,36.04902668,10.2,7.415532284,M0 ,2.1,0.249289,0.000006
59352,82523, ,, ,,,16.86665379,23.85612917,31.69572108,12.34,9.834996818, ,2.1,0.398189,0.000024
45610,62181, ,, ,,,12.74356083,33.34581307,38.86513797,12.44,9.492198931, ,2.1,0.37624,0.00006
15930,22552,30243,, ,,,4.85370931,68.16879623,2777.777778,6.54,-5.678487496,N5 ,2.1,0.348654,0.000036
44081,59943,106873,, ,,,12.29604325,-63.61614752,4545.454545,7.42,-5.867886596,M0Ia/Iab ,2.091,0.36147,0.000429
86558,0, ,,Gl 412 B,,,11.09761103,43.50851371,4.832318546,14.4,15.97922222, M6 e ,2.09,0.813194,0.000047
86360,0, ,,NN 3497 ,,,8.432612694,69.05600387,12.51564456,15.67,15.1827339, dM5.2 ,2.09,0.758105,0.000831
19005,26718,37536,1939,, ,,5.67834725,31.92061792,420.1680672,6.23,-1.887115215,M2SIab ,2.088,0.102014,0.000026
31809,43093,75021,, ,,,8.77676007,-29.72811587,10000000,7.29,-7.71,C ,2.087,0.486624,0
30142,40977,70276,, ,,,8.36191913,17.28528855,37.62227239,9.25,6.372774883,Sevar ,2.08,0.191353,0.000007
64405,89397,167279,, ,,,18.24353394,-2.60280359,364.9635036,7.38,-0.431247186,K5 ,2.08,0.02874,0.000001
68744,95099,181475,, ,,,19.34675377,-4.50248749,1538.461538,6.89,-4.045433217,K5II ,2.07,0.239174,0.000081
86364,0, ,,GJ 1111 ,,,8.49830034,26.78688829,3.625815809,14.81,17.01297131, M6.5 ,2.06,0.884802,0.001897
85958,0, ,,NN 3158 ,,,2.468250943,3.190801029,22.172949,17.46,15.73088271, m ,2.06,0.796013,0.001684
